Id,SalePrice
1461,116162.42346253803
1462,142699.11728231522
1463,175265.5304772775
1464,194871.2417825738
1465,192068.42894338685
1466,172712.72414843674
1467,176027.5613914569
1468,169470.2119453948
1469,186877.86608938084
1470,120713.33303774994
1471,201293.12821337968
1472,99503.17581919064
1473,97889.17024521068
1474,152187.87230573347
1475,123816.27075202817
1476,352272.4707581751
1477,245108.74921703196
1478,295795.00454508496
1479,278167.8826709282
1480,479883.89703115134
1481,314310.72833418776
1482,207051.236259285
1483,171812.0843970024
1484,178484.09042956823
1485,197933.77547148534
1486,195141.09153649776
1487,349692.56440067786
1488,240523.81829190592
1489,188211.50415561427
1490,220661.53207655408
1491,196433.9240498354
1492,90817.49722633207
1493,190114.02382592708
1494,286812.87876847317
1495,279433.25403920945
1496,234186.94104070961
1497,170629.0200012518
1498,165058.15767604657
1499,163673.29004352906
1500,150650.01356506106
1501,170450.70979451
1502,165122.4620557971
1503,274840.3810471238
1504,241796.35878055156
1505,223206.68369550174
1506,187913.27537975443
1507,231414.34117057486
1508,193124.89209183244
1509,161508.1519276528
1510,142627.1909782673
1511,144580.47032584142
1512,176295.8931952207
1513,144413.18810095717
1514,144987.54955127803
1515,195113.26852431416
1516,141196.69417858843
1517,155719.83960432222
1518,128439.0665282195
1519,218435.40747616152
1520,128329.08631493655
1521,125572.19065379015
1522,165714.82920203294
1523,106404.07720963859
1524,117362.38467562405
1525,116036.9165628858
1526,111566.73800025774
1527,104489.26013874284
1528,135415.02003509973
1529,140733.81043588417
1530,190416.41010499542
1531,124315.39210525504
1532,101675.71871050484
1533,142797.31649343332
1534,118237.01484849218
1535,138159.42888160932
1536,105766.44166122952
1537,67022.997709344
1538,153587.5426674108
1539,192665.83774475992
1540,93473.83468101351
1541,134573.3009922512
1542,129756.42706942269
1543,182673.75142122066
1544,85906.85892732686
1545,111167.23307631117
1546,131035.7548957906
1547,134437.5094384712
1548,130109.37543691482
1549,115705.54863711956
1550,132451.58070652376
1551,105189.20732426777
1552,138272.01450051842
1553,136693.18868091132
1554,121829.4068705719
1555,147889.317844693
1556,93666.13170809903
1557,101752.42367634436
1558,97136.11643047692
1559,84904.17824460875
1560,125826.16901128205
1561,127510.61466774154
1562,132250.1159214531
1563,116873.75362312449
1564,156463.8064744569
1565,152724.9572278549
1566,224063.7568301151
1567,79084.17026511923
1568,229637.66344736895
1569,129346.44524088317
1570,133613.75096691042
1571,119121.75169225488
1572,138021.33369756333
1573,224247.5543128707
1574,102147.9827350942
1575,216710.79623727626
1576,250588.20415566716
1577,190553.89291197425
1578,140323.81285691916
1579,132275.5715916777
1580,195985.89273309446
1581,150305.44041829556
1582,127149.83222800588
1583,318803.6980789276
1584,225488.62313589305
1585,136760.29148117348
1586,73952.70340232167
1587,102414.68602894641
1588,143758.65562434023
1589,99546.7149026647
1590,133302.91362576792
1591,94882.9617660933
1592,116843.73966999039
1593,126836.58673258433
1594,126231.82849834753
1595,96906.95286181603
1596,208484.34387531388
1597,158536.7554140399
1598,207539.21294319342
1599,180298.6934832483
1600,177123.4592723505
1601,73222.715301658
1602,111357.99524420816
1603,91365.15177771283
1604,262255.55360740714
1605,245666.2284340027
1606,164732.7383329531
1607,158868.2519964334
1608,219543.8937145165
1609,184719.0972261597
1610,157538.46756378104
